subj_idx,ChoiceRT,ChoiceDemand,TaskDemand,trial,DemandAversive_on,DemandAversive_off_T1,DemandAversive_off_T2,DemandAversive_off_T3,DemandAvoidance_true,response,rt,split_by,feedback,q_init
45,0.015614182,easy,mid,47,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.015614182,0,0.5,0.5
45,0.017054575,hard,mid,48,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017054575,0,0.5,0.5
45,0.017523713,easy,mid,49,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.017523713,0,0.5,0.5
45,0.017400504,easy,mid,50,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.017400504,0,0.5,0.5
47,0.015853866,easy,mid,1,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.015853866,0,0.5,1
47,0.016431782,hard,mid,2,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016431782,0,0.5,1
47,0.017746319,easy,mid,3,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.017746319,0,0.5,1
47,0.017303045,hard,mid,4,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017303045,0,0.5,1
47,0.016217098,hard,mid,5,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016217098,0,0.5,1
47,0.015915863,hard,mid,6,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.015915863,0,0.5,1
47,0.017194903,easy,mid,7,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.017194903,0,0.5,1
47,0.016956806,easy,mid,8,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.016956806,0,0.5,1
47,0.017309643,hard,mid,9,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017309643,0,0.5,1
47,0.016709441,hard,mid,10,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016709441,0,0.5,1
47,0.0172569,easy,mid,11,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.0172569,0,0.5,1
47,0.016589561,easy,mid,12,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.016589561,0,0.5,1
47,0.017165312,easy,mid,13,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.017165312,0,0.5,1
47,0.016876033,easy,mid,14,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.016876033,0,0.5,1
47,0.016311753,hard,mid,15,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016311753,0,0.5,1
47,0.01744577,hard,mid,16,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.01744577,0,0.5,1
47,0.016680658,easy,mid,17,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.016680658,0,0.5,1
47,0.016998167,hard,mid,18,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016998167,0,0.5,1
47,0.01721143,easy,mid,19,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.01721143,0,0.5,1
47,0.017065758,hard,mid,20,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017065758,0,0.5,1
47,0.01662958,hard,mid,21,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.01662958,0,0.5,1
47,0.01650261,easy,mid,22,demand_aversive,demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.01650261,0,0.5,1
