"","PID","Gender","Age","CueMapping","Phase","Block","TrialN","NbackLevel","ISI","ISI_calibrated","CaliEnd_A_measure","Trial_A_measure","Trial_ACC","Trial_RT","CueLearning","TrialDemandLearning","cue_i_on_zyg_values","cue_i_on_zyg_zvalues","cue_e_on_zyg_values","cue_e_on_zyg_zvalues","cue_i_on_scr_values","cue_i_on_scr_zvalues","cue_e_on_scr_values","cue_e_on_scr_zvalues","PhaseType","Choice","ChoiceDemand","TaskDemand","ChoiceRT","cue_e_true_zyg_values","cue_e_true_zyg_zvalues","cue_e_true_cor_values","cue_e_true_cor_zvalues","cue_e_true_scr_values","cue_e_true_scr_zvalues","OfflineRatingTimePoint","TrialDemand","OfflineRating","OfflineRatingRT","cue_i_off_zyg_values","cue_i_off_zyg_zvalues","cue_i_off_cor_values","cue_i_off_cor_zvalues","cue_i_off_scr_values","cue_i_off_scr_zvalues","CueCheck","CueDemandCheck","CorrectAnswer","Answer","AnswerDemand","AnswerRT","AnswerACC","DemandRatingQuesIndex","QuesTLX","DemandLevel","DemandRating","DemandRatingRT","BAI_bis","BAI_bas_d","BAI_bas_rr","BAI_bas_fs","NFC","BFI_ext","BFI_agr","BFI_con","BFI_neu","BFI_open","UPPS_lps","UPPS_lpm","UPPS_pu","UPPS_ss"
"033.61",33,"Male",20,"A","FalseCHOICE",9,1,2,159,,,,,,"","",,,,,,,,,"False","Left","Easy","Mid",0.0163646999280899,,,-0.00117548298820545,-1.62233427884639,1.543,0.539921406048632,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.62",33,"Male",20,"A","FalseCHOICE",9,2,2,159,,,,,,"","",,,,,,,,,"False","Right","Easy","Mid",0.0165919000282883,-4.66381415199844e-05,-1.11491011953217,,,1.452,-0.041532415849896,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.63",33,"Male",20,"A","FalseCHOICE",9,3,2,159,,,,,,"","",,,,,,,,,"False","Left","Hard","Mid",0.0159054000396281,-1.45905960053597e-06,-0.513198685145182,,,1.457,-0.00958440365766699,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.64",33,"Male",20,"A","FalseCHOICE",9,4,2,159,,,,,,"","",,,,,,,,,"False","Right","Easy","Mid",0.0177223999053239,,,-0.00110569486955876,-1.49103111516993,1.13,-2.0989844010293,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.65",33,"Male",20,"A","FalseCHOICE",9,5,2,159,,,,,,"","",,,,,,,,,"False","Right","Hard","Mid",0.0165579000022262,5.26646417857842e-05,0.207640442430732,-6.42958647549159e-05,0.468313636227285,1.577,0.757167888955776,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.66",33,"Male",20,"A","FalseCHOICE",9,6,2,159,,,,,,"","",,,,,,,,,"False","Right","Easy","Mid",0.0155959001276642,8.86915762325232e-05,0.687460250216195,0.00048437722693916,1.50061704489643,1.592,0.853011925532456,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.67",33,"Male",20,"A","FalseCHOICE",9,7,2,159,,,,,,"","",,,,,,,,,"False","Right","Easy","Mid",0.016565800178796,0.000123012415999595,1.14455766893822,-0.000422858702011787,-0.206305995618505,,,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.68",33,"Male",20,"A","FalseCHOICE",9,8,2,159,,,,,,"","",,,,,,,,,"False","Right","Hard","Mid",0.0166554998140782,0.000122124309055512,1.13272953785388,-8.23321622489964e-05,0.43437916474551,,,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.69",33,"Male",20,"A","FalseCHOICE",9,9,2,159,,,,,,"","",,,,,,,,,"False","Right","Hard","Mid",0.0153820000123232,-7.8877010514265e-05,-1.54427909476167,-1.32045773519321e-05,0.564439564285012,,,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.70",33,"Male",20,"A","FalseCHOICE",9,10,2,159,,,,,,"","",,,,,,,,,"False","Right","Easy","Mid",0.0169957000762224,,,-0.000126158462144706,0.351921979480586,,,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
