"subj_idx","ChoiceRT","ChoiceDemand","TaskDemand","trial","DemandAversive_on","DemandAvoidance_true","response","rt","split_by","feedback","q_init"
42,0.017379995,"easy","mid",37,"demand_aversive","demand_avoid",1,0.017379995,0,0.5,0.5
42,0.016998298,"hard","mid",38,"demand_aversive","demand_avoid",0,0.016998298,0,0.5,0.5
42,0.017059929,"easy","mid",39,"demand_aversive","demand_avoid",1,0.017059929,0,0.5,0.5
42,0.016714733,"hard","mid",40,"demand_aversive","demand_avoid",0,0.016714733,0,0.5,0.5
42,0.017071194,"hard","mid",41,"demand_aversive","demand_avoid",0,0.017071194,0,0.5,0.5
42,0.01660088,"hard","mid",42,"demand_aversive","demand_avoid",0,0.01660088,0,0.5,0.5
42,0.016683517,"hard","mid",43,"demand_aversive","demand_avoid",0,0.016683517,0,0.5,0.5
42,0.016577252,"hard","mid",44,"demand_aversive","demand_avoid",0,0.016577252,0,0.5,0.5
42,0.01684656,"hard","mid",45,"demand_aversive","demand_avoid",0,0.01684656,0,0.5,0.5
42,0.019148021,"easy","mid",46,"demand_aversive","demand_avoid",1,0.019148021,0,0.5,0.5
42,0.016670389,"easy","mid",47,"demand_aversive","demand_avoid",1,0.016670389,0,0.5,0.5
42,0.010131419,"hard","mid",48,"demand_aversive","demand_avoid",0,0.010131419,0,0.5,0.5
42,0.017064635,"hard","mid",49,"demand_aversive","demand_avoid",0,0.017064635,0,0.5,0.5
42,0.016907742,"easy","mid",50,"demand_aversive","demand_avoid",1,0.016907742,0,0.5,0.5
42,0.016874884,"easy","mid",17,"demand_aversive","demand_avoid",1,0.016874884,0,0.5,0.5
42,0.017085291,"easy","mid",18,"demand_aversive","demand_avoid",1,0.017085291,0,0.5,0.5
42,0.01728347,"hard","mid",19,"demand_aversive","demand_avoid",0,0.01728347,0,0.5,0.5
42,0.016876385,"hard","mid",16,"demand_aversive","demand_avoid",0,0.016876385,0,0.5,0.5
42,0.016787475,"hard","mid",21,"demand_aversive","demand_avoid",0,0.016787475,0,0.5,0.5
42,0.017106056,"easy","mid",22,"demand_aversive","demand_avoid",1,0.017106056,0,0.5,0.5
