"","PID","Gender","Phase","Block","TrialN","TrialIndex","NbackLevel","ISI","Trial_A_measure","Trial_A_measure_pre","Trial_RT","Trial_ACC","Trial_RT_pre","Trial_ACC_pre","TrialDemandLearning","TrialTransition","TrialDemandLearning_pre","TrialTransition_pre","OnlineRating","OnlineRatingRT","CueLearning","CueMapping","PhaseType","CueLeft","CueDemandLeft","CueRight","CueDemandRight","Choice","ChoiceDemand","TaskDemand","ChoiceRT","OnlineRatingMean","OnlineRatingSD","RTZ","ACCZ","RT_preZ","ACC_preZ","OnlineRatingZ"
"4855",69,"Female","FalseCHOICE",9,25,,2,2583,1,0.875,0.424055131165611,1,0.415441565333216,1,"","repetition",,"repetition",,,"","A","False","cue2.png","hard","cue1.png","easy","Right","easy","mid",0.0106100109987892,42.18,13.1112819466944,-0.468714186856273,0.380709818227324,-0.54658633103176,0.372801328979489,
"4856",69,"Female","FalseCHOICE",9,26,,2,2583,0.6875,1,0.561378494168215,0.75,0.424055131165611,1,"","repetition",,"repetition",,,"","A","False","cue1.png","easy","cue2.png","hard","Left","easy","mid",0.0101199679993442,42.18,13.1112819466944,0.420129021625959,-1.55212464354217,-0.490460753312254,0.372801328979489,
"4857",69,"Female","FalseCHOICE",9,27,,2,2583,1,0.6875,0.352140013999209,1,0.561378494168215,0.75,"","repetition",,"repetition",,,"","A","False","cue1.png","easy","cue2.png","hard","Right","hard","mid",0.00638813499972457,42.18,13.1112819466944,-0.934194073766335,0.380709818227324,0.404331628017085,-1.55734748718851,
"4858",69,"Female","FalseCHOICE",9,28,,2,2583,1,1,0.359880607000377,1,0.352140013999209,1,"","repetition",,"repetition",,,"","A","False","cue2.png","hard","cue1.png","easy","Right","easy","mid",0.00624683500063838,42.18,13.1112819466944,-0.884092085522837,0.380709818227324,-0.959056173173069,0.372801328979489,
"4859",69,"Female","FalseCHOICE",9,29,,2,2583,0.875,1,0.353777129999798,1,0.359880607000377,1,"","repetition",,"repetition",,,"","A","False","cue1.png","easy","cue2.png","hard","Left","easy","mid",0.0065973809978459,42.18,13.1112819466944,-0.92359762894584,0.380709818227324,-0.908618844134704,0.372801328979489,
"4860",69,"Female","FalseCHOICE",9,30,,2,2583,1,0.875,0.264911167832906,1,0.353777129999798,1,"","repetition",,"repetition",,,"","A","False","cue1.png","easy","cue2.png","hard","Left","easy","mid",0.0100514340010704,42.18,13.1112819466944,-1.49879405008056,0.380709818227324,-0.948388804615744,0.372801328979489,
"4861",69,"Female","FalseCHOICE",9,31,,2,2583,1,1,0.264386763169265,1,0.264911167832906,1,"","repetition",,"repetition",,,"","A","False","cue2.png","hard","cue1.png","easy","Right","easy","mid",0.00669706500048051,42.18,13.1112819466944,-1.50218832701627,0.380709818227324,-1.52743510939441,0.372801328979489,
"4862",69,"Female","FalseCHOICE",9,32,,2,2583,0.875,1,0.506803128167424,1,0.264386763169265,1,"","repetition",,"repetition",,,"","A","False","cue1.png","easy","cue2.png","hard","Left","easy","mid",0.0099135370037402,42.18,13.1112819466944,0.0668829143389194,0.380709818227324,-1.53085210478033,0.372801328979489,
"4863",69,"Female","FalseCHOICE",9,33,,2,2583,0.6875,0.875,0.454476334665136,0.75,0.506803128167424,1,"","repetition",,"repetition",,,"","A","False","cue2.png","hard","cue1.png","easy","Right","easy","mid",0.00989460399432573,42.18,13.1112819466944,-0.271809016947964,-1.55212464354217,0.0487211868072979,0.372801328979489,
"4864",69,"Female","FalseCHOICE",9,34,,2,2583,0.875,0.6875,0.471263670499563,1,0.454476334665136,0.75,"","repetition",,"repetition",,,"","A","False","cue2.png","hard","cue1.png","easy","Right","easy","mid",0.00911818399617914,42.18,13.1112819466944,-0.16315081692516,0.380709818227324,-0.292237664923954,-1.55734748718851,
"4865",69,"Female","FalseCHOICE",9,35,,2,2583,0.875,0.875,0.383446856999702,1,0.471263670499563,1,"","repetition",,"repetition",,,"","A","False","cue2.png","hard","cue1.png","easy","Right","easy","mid",0.00697319400205743,42.18,13.1112819466944,-0.731556487768092,0.380709818227324,-0.182852197811722,0.372801328979489,
"4866",69,"Female","FalseCHOICE",9,36,,2,2583,0.875,0.875,0.496076102498288,1,0.383446856999702,1,"","repetition",,"repetition",,,"","A","False","cue1.png","easy","cue2.png","hard","Left","easy","mid",0.0102796979990671,42.18,13.1112819466944,-0.00254914517920776,0.380709818227324,-0.755062300697167,0.372801328979489,
"4867",69,"Female","FalseCHOICE",9,37,,2,2583,0.125,0.875,0.107874570331963,0.5,0.496076102498288,1,"","repetition",,"repetition",,,"","A","False","cue2.png","hard","cue1.png","easy","Right","easy","mid",0.00979246699716896,42.18,13.1112819466944,-2.51523371569831,-3.48495910531167,-0.0211755928316134,0.372801328979489,
